station_id,wmo_id,latitude,longitude,elevation_m,site,state,country,site_type
RU-0216,,58.91699982,46.72700119,0,Vokhma Airport,RU-KOS,Vokhma,
CA-0422,,58.9258,-121.473201,1950,Yoyo Airport,CA-BC,Yoyo,
76Z,,58.92760086,-157.0469971,50,Nakeen Airport,US-AK,Nakeen,
UNHA,,58.9327,101.5735,580,Aksenovo Airport,RU-KYA,Aksenovo,
NO-0030,,58.939851,7.693294,673,Ose Airfield,NO-09,,
CFV6,,58.9458023,-115.2565384,2750,Margaret Lake Airport,CA-AB,Margaret Lake,
EGPA,,58.95780182,-2.904999971,50,Kirkwall Airport,GB-SCT,Orkney Islands,
9Z7,,58.96260071,-156.9320068,25,Kvichak /Diamond J/ Airport,US-AK,Kvichak,
CEG8,,58.9693985,-99.97499847,980,North Seal River Airport,CA-MB,North Seal River,
ESSH,,58.97869873,14.66619968,0,Laxå Airport,SE-T,Laxå,
PAKL,,58.98210144,-155.1210022,717,Kulik Lake Airport,US-AK,Kulik Lake,
EEVO,,58.9851604,23.2513723,0,Vormsi Airfield,EE-U-A,Vormsi Island,
EERA,,58.9864006,24.72439957,220,Rapla Airfield,EE-70,Rapla,
PAMB,,58.99020004,-159.0500031,100,Manokotak Airport,US-AK,Manokotak,
EEKA,,58.99079895,22.83069992,18,Kärdla Airport,EE-39,Kärdla,
CA-0226,,59,-117.6666641,0,Meander River Airport,CA-AB,,
CBF8,,59.00999832,-125.7740021,2681,Muncho Lake/Mile 462 Seaplane Base,CA-BC,,
PAPM,,59.01139832,-161.8200073,15,Platinum Airport,US-AK,Platinum,
ESGS,,59.01679993,11.34370041,115,Näsinge Airport,SE-Q,Strömstad,
EELU,,59.02211,23.57808,20,Lyckholm Airport,EE-57,Saare,
ESVK,,59.022301,16.220301,0,Katrineholm Airfield,SE-D,Katrineholm,
UEKU,,59.028719,131.788731,0,Kutana Airport,RU-SA,,
ENVE,,59.031723,7.554903,771,Valle Airfield Åraksøyne,NO-09,,
PADL,,59.04470062,-158.5050049,81,Dillingham Airport,US-AK,Dillingham,
PATG,,59.05279922,-160.3970032,21,Togiak Airport,US-AK,Togiak Village,
UEOQ,,59.05574,119.780331,0,Tyanya Airport,RU-SA,,
RU-0038,,59.05833435,159.9666595,154,Palana (East) Airport,RU-KAM,Palana,
0Z3,,59.058998,-158.577191,80,Shannons Pond Seaplane Base,US-AK,Dillingham,
CFT9,,59.06389999,-118.8899994,1242,Zama Lake Airport,CA-AB,Zama Lake,
GB-0573,,59.063901,-3.269179,0,RAF Skaebrae Air Base,GB-SCT,Orkney,
UNLK,,59.064443,80.827222,0,Kargasok Airport,RU-TOM,,
RU-0480,,59.0652092,31.7641172,0,Volkhov-Most river runway,RU-U-A,Volkhov-Most,
A63,,59.07559967,-160.272995,82,Twin Hills Airport,US-AK,Twin Hills,
UHPL,,59.08199,159.892316,112,Palana Airport,RU-KAM,Palana,
CA-0197,,59.08333206,-121.25,0,Kotcho Airport,CA-BC,,
GB-0574,,59.0887808,-3.2846396,0,RNAS HMS Tern Air Base,GB-SCT,Twatt,
ESGY,,59.09120178,12.95860004,0,Säffle Airport,SE-S,Säffle,
ESSZ,,59.10110092,17.21109962,0,Vängsö Airport,SE-D,Vängsö,
SE-0051,,59.102878,14.300332,375,Degerfors Grenlanda Airfield,SE-T,Degerfors,
ENLA,,59.1108017,2.845829964,0,Ula Platform,NO-U-A,,
GNU,,59.11740112,-161.5769959,15,Goodnews Airport,US-AK,Goodnews,
AK76,,59.126338,-138.409216,20,East Alsek River Airport,US-AK,Yakutat,
9Z8,,59.12810135,-156.8589935,39,Levelock Airport,US-AK,Levelock,
AK21,,59.13259888,-157.7769928,40,Nushagak Airport,US-AK,Dillingham,
CJZ6,,59.15000153,-105.5500031,909,Black Lake Seaplane Base,CA-SK,,
CEX5,,59.15190125,-118.7070007,1296,Zama Airport,CA-AB,Zama,
EGER,,59.15530014,-2.641390085,39,Stronsay Airport,GB-SCT,Stronsay,
K3AK,,59.16435,-138.4894,43,Dry Bay Airport,US-AK,Yakutat,
UEEX,,59.169249,131.91988,0,Bel'kachi Airport,RU-SA,,
ESCN,,59.1794014,17.90780067,180,Stockholm Tullinge Airport,SE-AB,Stockholm,
CA-0021,,59.17971032,-119.4685936,0,Amber Tower Airport,CA-AB,,
ENSN,,59.18500137,9.566940308,463,Skien Airport,NO-08,Geiteryggen,
ENTO,,59.18669891,10.25860024,286,Sandefjord Airport, Torp,NO-07,Torp
